Negative 	 Enna da ellam avan seyal  Mari iruku
unknown_state 	 Thalapathy 64 Elam Diwali ka BIGIL-THALAPATHY SangaThamizhan-VJS Kaithi-Lokesh kanagaraj
Negative 	 Farmers oda varumaya kaati Ella movie layum kalla kattunga da. Thuu....
Positive 	 I'm Telugu VijaySethupathi AnnA Movie Pakka Blockbuster....
Positive 	 Secand  rajini you sir Telugu fan sira superhit acting sir
Positive 	 Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan
unknown_state 	 K ramachandran in 96 M g ramachandran
unknown_state 	 I am Telugu but Vijay anna fan
Negative 	 Mokka palaya film sayal niraya irukku....
Negative 	 Thamizh , ipdi indha Oru tag vechi padam pandradhe trend aiduchii. Cinema koothadi thevudia pasangalukku.
Negative 	 Padam paru singatamilan ana 0:09  la enna pa Hindi la potu irukinga .... Idu enna da koduma
Negative 	 0:9 la enna pa hindi ingaum Hindi ya
Negative 	 Makkalta kaitatu vaangae vivasayatha base panni Padam edukirainga idanala Tamil cinemavukum use illa vivasaigalukum use illa
Negative 	 Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..
Positive 	 Commercial ok arasiyaluma!! Unga mass max to max 12 C ...
unknown_state 	 Ohhh aaa Telugu remake of RAVI TEJAS  BENGAL TIGER .....
Negative 	 Kevalama iruku....yepo ne iron Man ku voice kuduthiyo apove una veruthutan promise ah un movie lam paaka maatan
Positive 	 Padam Vettri Pera Vazhthukkal By SK Fans
Positive 	 VS annan eppothum semma Love from kerala
Mixed_feelings 	 Vj naalu nalla movie kku naduvula oru commercial mokka padam pannuvaaru...athu than idhu
not-Tamil 	 ਪੱਟੇਟੋ ਦਾ ਸੱਬਜੀ ਸੈਂਨੂ ਵਿਚ ਬੋਤੇ ਪਿਆਰਾ ਲਗਦਾ..।।
Negative 	 Iron Man voicelaya onnoda Massa pathatonda da lossupayale
Positive 	 Thalaiva................     VJS #lub
Positive 	 All the best from KICHCHA BØSŚ  fans karnataka
unknown_state 	 Vijaya vallu movies teesthunnaraa inkaa wow
unknown_state 	 Mirchi shiva nu nenachuten da first
Positive 	 Vijay sethupathi voice I like you
unknown_state 	 Sanga thamilan nu title  vachutu  enna_____ just remix song because?
Positive 	 Raashi  Is so cute  and vj mass ji ...
unknown_state 	 0:47 ithu yengayo paatha mathiri la irukku
not-Tamil 	 Mujhe doubt h   ye movie YouTube pe available hogi ..
Negative 	 Dae over build ha irruku da padam oodumaaaaa
Positive 	 Intha manusan enna pannunalum pidikuthu.. athu en apdinu therila pa...
unknown_state 	 Makkal Selvan Fan from Tollywood   We need u makkal in Tollywood
Negative 	 Bro starting dialogue la konjam thimiru irikae. Thappa irikae bro.
Positive 	 Vaa thalaiva via diwali mass ur movie bikil  out
Mixed_feelings 	 Thalaivaa unnaku Commercial set agala Thalaivaa 96 Vikram Vedha mathiri class ahh padam Nadi Thalaivaa nanga pakkurom...
Mixed_feelings 	 Nice Trailer.. But Dhool Padam Maathiri Irukumonu Oru Chinna Doubt...!!!  Vera Yaarkavathu Intha Doubt Vanthrukaa??
Positive 	 Mass vjs...he is more mass den ajith vj rajni
Negative 	 En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae
Positive 	 Iam from keraLa  Vj sethupathi annan uyir
Negative 	 DEivame , how many politics drama dah dei?
unknown_state 	 Want nevetha pethuraj hot song 1
Negative 	 Yen Mandakasayam , Mela irukaravan kittaye keklame
Positive 	 I love vjs
Positive 	 Ennaku enamo..... VJS intha padathula... Alaga irrukura maathiri irruku........
not-Tamil 	 Asalu thamil lo face baga lekunna hero avvochu appa
Negative 	 Vjs poda iron man ah keduthavane loosu
Positive 	 Thala Rasigayin sarbaga Sangathamizhan vetri adaya vazhuthukal
unknown_state 	 Diwali realise panna tharamana sambavam ah irukum
Positive 	 Oru varshathuku 10 padam edukura mudhal hero
unknown_state 	 Makkal Selvan fans our like podungo
Negative 	 Dai iron man konnavana ,un padam atta flop aganum daa.
Negative 	 I hate v... s...  Iron man kill it v... s
unknown_state 	 climax la farmers ku neethi vangi kudukaroum
Positive 	 Neenga vena...area la class ah..posh ah suthalam...aana enn masss ennanu theriyadhu laa
Positive 	 Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..
Negative 	 Not a suitable movie for vjs
Positive 	 Vijay sethupathi Anna bayangara mass said irukaru
Positive 	 Ella veetu pillaigalum oramaa nillunga.. Dhanush is coming for you...!!!
Positive 	 Yov  GV Prakash nee music mattu poduya,,,bgm
Positive 	 Kannir varuthu thalaiva epdi solane theryla enala mudila love u so much
Negative 	 Daiii yennadaa viswasam bgm maadhiri irukku
Positive 	 Dhanush enaya Ivan manushaana paaah verithaanamana acting raa dei
Positive 	 Semma mass dhanush Anna veara level Gv bgm mass
not-Tamil 	 I like no dahunsh bolt majju
Positive 	 Thalaaivaa 🤟 Thalapathy Fans Like Hey 🤙
Positive 	 Bgm ppa i love you thalaivaa
Positive 	 Verra level  ah Anna
Positive 	 Dhanush na summa othunghi povum ungha ? .bangam mha irruku treaser
Positive 	 Bgm ye therikka viduthu vaa Thalaivaaà.....🤩🤩
Positive 	 Bgm mass irrukunu solluvanga like podungabangam ....
Positive 	 Namaku thevaiyanatha nama tha adichi vanganum...
Positive 	 Namaku thevayanadha naama dhan adichu vanganum
Positive 	 Bgm semma ya irruku nu solravunga like podunga
Mixed_feelings 	 1 millions views varunu solravanga like panunga....
Positive 	 kaada iruntha eduthapanenga  poova irruntha pudingupenanga  padipu mattum tan nambha kita irruntha  eduthuka va mudiyathu
Positive 	 Thalaivar asuran ah vanthurukaru...Last la bgm vera levell
Positive 	 Trailer paka mass vara level Marana mass Dhanush intro Vera level
Positive 	 Marana waiting   By thalapathi fan
Positive 	 Thaaaaa ippo eduthu vai da andha Oscar ah
Positive 	 Gv Prakash music Vera level gv fans hit like here
Negative 	 10 times ku mela paathavanga mattum
Positive 	 Oct 4 kku wait pandranvanga mattum like podunga
Positive 	 BEST WISHES FROM THALAPATHY ANNA FANS FOR DHANUSH
unknown_state 	 GO HEAD 5MIN -------------- 64K  CONFIRN TMRW TRENDING
Positive 	 Trialer super maran padam vettiri pera valthukal
Positive 	 Maarana MASS  trailer.....  From Malaysia
Positive 	 Seeing Prakash Raj after long time...
Positive 	 VeriThanam Overloaded...Namaku Thevayanadha nama dha aduchuuu Vanganoooooo....Goosebumps
Positive 	 Telugu dhanush fans hit like here
Positive 	 Yaru padam vanthalum varadum thanush Anna padam vanthale tamil nade miratdum by thanush veriyan
Positive 	 Movie  National Award   vanga   THALA RASIGARGAZHIN     manamarndha  vazhthukkal
Positive 	 Dhanush + vetrimaran....vera inna venum padam blockbusternu solrathuku.....#Asuran
Positive 	 plz realize at telugu also sir
Positive 	 VINTAGE DHANUSH  VINTAGE VETRIMAARAN VINTAGE GV PRAKASH   MARANA WAITING , GET READY NATIONAL AWARD JURY
Positive 	 Background music Veritanama iruku G V.Prakash na
Positive 	 Thalaivaaaaaaaaaaaa ........Namaku thevayaadha nama dhan adichi pudunganum thalaivaaaaaaaa verithanammmmm🤩🤩🥰
Positive 	 Vijay Anna fans hit like here
Positive 	 Namaku thevaiyanatha namba than adichi vankanum
Positive 	 padam mass erukum thalapathy fans sarp wisas
Positive 	 Oscar Award Vanguvaru Nu Soldravanga Like .
Negative 	 last bgm un azhaigil en idhayam than nilayail kathi song ah copy adichtan
Positive 	 Next Super star    - Vijay Fan
Negative 	 0:43 Viswasam oda Slow version bgm mari Liteah Eruku
Positive 	 Thalaivar Dhanush kola Mass #Asuran
Positive 	 Vera mathurii irukuuuu thalaivaaa..... Ni vah thalaivaaa vera Level expectations
Positive 	 2018 vada chennai 2019 asuran 2020 vada chennai2 2021vada chennai3 salute to best combo of tamil cinema
Positive 	 Namba kitta Kaddu iruntha eduthukuvanunga rubba iruntha pudingikuvanunga ana padipa mattum pudnga mudiyathu  Dhanush dialogue delivery
Positive 	 Silurkkuthu udambula innum padam yepti irukka pogutho .marana mass verithanam
Positive 	 Thalaivaaa Sure BB 🤩 Eduthu vainga da national award ah
Positive 	 Ready 2 get Nxt Oscar Award... Thalaivaaaaa...
Mixed_feelings 	 En thalaivana minja oru paiyanum ila thalapathya thavara
Positive 	 Marana mass  DHANUSH  ANNA   adutta  award   waiting
Positive 	 Intha thadava national award miss aagathu!! Eluthiruvaila vechukkonga
Positive 	 Thelivaaa marana mass ah iruku
Positive 	 Dislike panna eppadi dhN manasu varudho🤕🤕
Positive 	 Wow thalaivaaaa Vera Leval Teaser  Awards Eduthu Vaikadaaa Asuran Vararuu
Positive 	 Dai eppa enna da ithu. Semma da dai.....
Positive 	 Varthaiye varla kola mass dhanush Anna
Positive 	 Wow semma dhanush anna asuran waiting
Positive 	 Padipa Mattum Namma kita irundhu eduthuka mudiyadhu  Village based verithanam
Positive 	 Eduthu vainga Da ellam award aiyum
Positive 	 Wishes from nadippin Nayagan suriya Anna fans
Positive 	 Sema visual.. But BGM mattum viswasam movie la varadhu pola irukku
Positive 	 Indha time miss aahudhu
Positive 	 Mass marana mass dhanush Anna love you
Mixed_feelings 	 52 sec la pathavanga like podunga
Positive 	 Unga Vetriya Mattum Yaralayum Eduthukidave Mudiyathu Vetri-Dhanush
Positive 	 Thalaivaaa nee Vera level adhukkum Mela
Positive 	 DANUSH AND ROCKY BHAI FANS LIKE HERE
Positive 	 Thalaiva vera leval. Padippa mattum namma kitta iruthu eduka mudiyathu
Positive 	 namma kitta kaadu iruntha eduthukuvanga ruva iruntha pudingipanga padippa mattum yaaralaiyum eduthuka mudiyathu...........fact
Positive 	 Vadachennai movie la kedaikatha National award ithula kedaikum... But vadachennai deserves national award...
Negative 	 BGM Nerkonda Paarvai Madhiri eh iruke
Positive 	 spr...pakave......spr ahh iruku..epo screen la paka pora noo ..... waiting
Positive 	 Intha Padam block buster agumnu solravanga like pannunga
Positive 	 GV Sir BGM Bayangaram Vera Level Sir
Positive 	 DHANUSH FANS -----  LIKE HATERS OF DHANUSH ------------ COMMENT         ANY WAY BLOCKBUSTER FILM OF 2019 #ASURAN
Positive 	 Ellam awardum line a eduthuvainga verathu asuran
Positive 	 Namaku thevaianatha nammathan adichu vanganumadichu vangunga
Positive 	 Vera lvl dhanush anna .........asurana asuran ........ Waiting
Positive 	 Santhosh Narayan music pottu iruntha innum nalla irunthu irukum .
Positive 	 Onnu maattum nalla theridhu  Asuran ninnu pesa podhu.... vetrimaran + dhanush = vetridhan.. ..
Positive 	 Idhu dhan ya unmaiya na verithanam....
Positive 	 Sema Violence.. Naangale A certificate tharom... Seekarama release panunga..
Positive 	 Verithanam ah irukku waiting fdfs thatra like ah
Negative 	 Kgf Theme ah aptiye poti vachurukan #Asuran  #Gayvp
Positive 	 Asuran vettai aramam marana mass
Positive 	 Padipa mattum namma kitta irunthu eduthuka mudiyathu  la oru Varthai thalaiva
Positive 	 Teejay va paaka yaarellam theater ku povinga
Positive 	 Kola massss trailor vera leval thalaivar
Positive 	 Vera level  padippa mattum edukka mudiyaathu fact
Positive 	 O..a verithanam da epa.. dhanush vetrimaran gv Combo
Positive 	 Thambii...  Andha national award ah knjo eduthu veinga, tharamana sambavam onnu irukku
Positive 	 Prasanth maamey ungala pada m trailer vanthuduchiiii
Positive 	 Bgm Semmaya iruku nu sollravanga like podunga ‍
Positive 	 Kovilpatti pasanga lam like podunga la..
Positive 	 Dhanush Anna what a Screen presence! Paaaaaaaaaaaaah! Sure Blockbuster #Asuran
Positive 	 Ippo enna panna porum??? Sweet sapida porom..Vera level
Positive 	 Alaguuuuuuuuuuuuuuuuuuu my one and only superstar rajinikanth sirree
Positive 	 Rajini nale mass than pa
Positive 	 Semma stylish... Olunga odi poidunga kolaveri la irukken adhichu trouser oda oda vitruven... Mass action movie maathiri irukku
Positive 	 I don't like rajini...but trailer weightuu..
Positive 	 Idha ya rajni padam marana mass
Positive 	 Lite ah basaa filim mathiri irukku semmaa
Positive 	 Ithu than da rajini padam
Negative 	 Dislike pottavanga lam தேங்காய் சீனிவாசன்   rasikarnu ninaikuren
Positive 	 Thalaiva superstar Rajinikanth very very super
Positive 	 Yow Ranjith.. Karthik subburaj kitta tuition poya
Positive 	 I m from telangana, jai rajini, jai thalaiva 🤘 🤘 🤘 🤘 🤘
Positive 	 Rajini : style ah irukkena, naturally..  Rajini : Ippa enna panna porom, sweet saapda porom..
Positive 	 Rajini & Vijay Sethupathi
Positive 	 Karthik sobu Ni deivamya... Thalaivare semmeya katirukke
Positive 	 Rajni vs vj sethubathi marana combo, I AM waiting
Positive 	 OMG... Pakkka mass... Vera level... Thalaivaaa... I love u...
Positive 	 Poggaloooooo....Pongal... Petta Pongal...... Petta parak .parak .parak
Positive 	 O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed
Mixed_feelings 	 Kanna indha 1, 2 ellam Papa vilayatu. Inga epavume thalaivar than 1.. super one....
Positive 	 Super Anna  maku kavalasindi iedhaa
Positive 	 Thanks Karthick Subburaj Marubadiyum 90s  Thalaivar ha Kuduthadhuku
Positive 	 thalaivaaaa......ungalaa maari style ha yatumae illa.......m
Positive 	 Thalaivar enaikumeee masss tha pa meaning of style
Positive 	 Maranam massu maranam adhuku avar dhan porandhu varanum...
Positive 	 wow.. last vanthathu rajaniya ille sivakarthikeyana!!
Positive 	 Thalaivaaa, thank you karthik sir to gv us old rajinikanth
Positive 	 ஜித்து meratal pannraru super star vera level
Positive 	 10 vatti parthuten.. Thalaivar style ah parkkave... Mass thalaiva.... Music nalla irukku....
Positive 	 Sirappana Tharamaana Sambavangala Inimei Tha Paaka Pora!!🤘🤘Marana Waiting..
Positive 	 Super b trailer am waiting pongal
Positive 	 Eppa Karthik unna tha nambi irukom .... Enga thalaivara kappathidu
Positive 	 Vera level thalaivar petta... trailerhe marana kaattu kaattuthu ..
Positive 	 Thilavaaaaaaaaaa.......
Positive 	 Marana mass thalaiva I love you
Positive 	 Awesome awesomeness awesome style king is back
Positive 	 ONE.AND ONLY SUPERSTAR SEMMA KALAKKAL .....HAPPY PONGAL ALL STAR FANS AND SUPERSTAR FANS ......
Positive 	 Mass, super fantastic
Positive 	 kola pasila irukan kollama vidamatan thalaivaaa
Positive 	 Karthik subburaaj  direction na summa vapetta
Positive 	 Adiiiii pisiruuuuuu......masss daaa marana massss.....no one touch this peak level dialogue delivery .........star marana mass super star. Forever......
Positive 	 Super star..naa. super star..thaaa.. marana wating.........daaaaaaa...vainga..daa. .maronam..mass..maranam..thalaivar.varanum...adhuku...petta pongal..thaana..varanum.... sathiyama. Sollren..aduchu...anrarveroda.  oda.vettruven.     ......
Positive 	 Semmaya iruku ...Thalaiva nanka intha getula unkala parkurathukutha ivlo naal irunthom....Thalaiva vayasanalum unka alagum stylum maranthu...
Positive 	 Nawazuddin & Vijay Sethupati fans hit like
Positive 	 Marana MASS........ Unmaiyave CHINNAPAIYAN MARI THALIVAR STYLE ah than irrukaru...... Vanga THALIVAAAAAAAAAAA vanga we are waiting for you.....
Positive 	 Sooper Pettai Trailer S Bajrangi Baaijaan film la Nawasuddin Siddiqi comedy police pettai la villain aa?
Positive 	 Thalaivar marana massss..........vera level trailar.......
Positive 	 To Haters: Ungalukku comfortable ah illana neenga kanna moodikkalaam..
Positive 	 Nice ok iam waiting kali sports big screen ..
Positive 	 Eppa enna Panna porom mmm......  sweet sapda porom
Positive 	 Vj Seathupathi anna va 1sec mattum thaan  katuranga  ethu sarila. Total ah thalaivara mattum thaan triler la katuranga
Positive 	 Rajani fans from Karnataka We want this rajani old style
Positive 	 pakkurathuku chinna payan mari style ah irukeenga
Positive 	 Seeman annan'in mind voice Yaarya nee? Enakke unna paakanum pola irukke.. :)
Positive 	 Stlye king Thalaivrrrrr back Diologue elam semma...rajini veriyanukana padammmmm
Positive 	 Madura petta going to be viral.......
Positive 	 super star  lady super star
Positive 	 thalaivaaa vera level!!!! masssu maranam and vjs
Positive 	 Thalaiva and makkal selvan combo...waiting daaaaaa..... from vizagggg....
Positive 	 Telugu trilar eppudu release date please
Positive 	 Get rajini fied , vera level thalaivar mass , pongaluku paraak 10th jan
Positive 	 Ranjith avanukkaga patam etuthaan   Karthik suppuraj fansukkaga patam etuthurukkaru
Positive 	 Yammadiyovv... Siripana sambavam pakka porom..
Positive 	 Very  very very bad movies
Positive 	 super boss karathik subaraja film super hit
Mixed_feelings 	 Epdi dhan vivegam kum visuals la nalla irunduchu padam pochu edhum apdi dhan aaga podhu🤣
Positive 	 1 like nawaj bhai k liye
Positive 	 Viswasam varum Vera level la parunga
Positive 	 Vayasu ponalum unga alagum style um inum kurayave ila cute mass
Positive 	 Enaya ipdi use panirkinga super starah sema
Positive 	 Deivamae na expect panna rajini padam ethu tha not 2.o, kaala, kabali
Positive 	 Podu podu podu sakka sakka sakka
Positive 	 Petta Paraak Thalaivar Vera level da.. Sure Sweet Pongal guaranteed....
Positive 	 Semma thalaivar . makkal selvan
Positive 	 Padam pattaiya oda pokuthu ellarum ready aakikonga thalaivar thalaivar thaanya
Mixed_feelings 	 pls don't come to politics  petta- best entertainer
Negative 	 Badass  thalaivar Petta !! Parak
Positive 	 im watching it again & again & again & again.....& again & again & again & again..............................
